K,inercia,silhouette,calinski,davies_bouldin
2,1692166.8107785026,0.27502477531448405,105012.6196714553,1.4862015143677354
3,1404022.5055950785,0.28733861480560635,102168.98628529614,1.1880306540401406
4,1224830.1797162239,0.2139309325159953,96558.13363464356,1.482634413123296
5,1108186.4759676831,0.23081736669729352,90013.03854110479,1.359957645332292
6,1037770.3900561112,0.2056228002690688,82039.80495308063,1.4223243870592392
7,938983.9276113855,0.22263229650597122,82203.35603925983,1.3339254831998584
8,877910.264965294,0.19702479541201856,79127.97940817293,1.4094415115680663
9,832021.2745648194,0.18564999432892687,75668.00365090708,1.4766937483741966
10,789010.4410942595,0.18795531478424715,73222.1512938949,1.4308971172763472
